ID,Region,Industry Sector,Industry Category,Gas,Units,Magnitude,Amount
184,Auckland,Service industries,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,1885.21
185,Auckland,Service industries,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,1858.54
186,Auckland,Service industries,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,1896.98
187,Auckland,Service industries,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,1878.92
188,Auckland,Service industries,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,1806.33
189,Auckland,Service industries,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,1823.28
190,Auckland,Service industries,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,1836
191,Auckland,Service industries,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,1922.3
192,Auckland,Service industries,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,1939.48
193,Auckland,Service industries,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2028.52
194,Auckland,Service industries,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2094.07
195,Auckland,Service industries,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2097.23
196,Auckland,Primary industries,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,1005.55
197,Auckland,Primary industries,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,979.47
198,Auckland,Primary industries,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,856.47
199,Auckland,Primary industries,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,907.06
200,Auckland,Primary industries,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,971.78
201,Auckland,Primary industries,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,991.44
202,Auckland,Primary industries,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,974.41
203,Auckland,Primary industries,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,878.48
204,Auckland,Primary industries,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,977.98
205,Auckland,Primary industries,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,1093.63
206,Auckland,Primary industries,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,1051.33
207,Auckland,Primary industries,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,946.76
208,Auckland,Primary industries,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,1016.69
